name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace,cyclomatic
"void ViewStubActivity$1.onInflate(ViewStub,View)","com.liangfeizc.databinding.sample.viewstub.ViewStubActivity$1.onInflate(android.view.ViewStub,androi1510",1,0,  ,64,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/viewstub/ViewStubActivity.java,24,39,N,"void void ViewStubActivity$1.onInflate(ViewStub,View)(class com.liangfeizc.databinding.sample.viewstub.ViewStubActivity$1 *this, class android.view.ViewStub *stub, class android.view.View *inflated)",8,0.88,0.60,0,3,24 25 26 27 28,1
"ViewStubActivity.<init>()","com.liangfeizc.databinding.sample.viewstub.ViewStubActivity.<init>()",1,0,  ,18,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/viewstub/ViewStubActivity.java,14,39,N,"void ViewStubActivity.<init>()(class com.liangfeizc.databinding.sample.viewstub.ViewStubActivity *this)",5,0.80,0.30,0,1,14,1
"com.liangfeizc.databinding.sample.viewstub.ViewStubActivity.InferGeneratedHarness()","com.liangfeizc.databinding.sample.viewstub.ViewStubActivity.InferGeneratedHarness()",0,0,  ,57,0,/Users/rufi/github/liangfei/AndroidDataBinding/infer-out/sources/com.liangfeizc.databinding.sample.viewstub.ViewStubActivity_InferGeneratedHarness.java,17,0,N,"void com.liangfeizc.databinding.sample.viewstub.ViewStubActivity.InferGeneratedHarness()()",3,0.00,0.70,0,4,,1
"void ViewStubActivity.inflateViewStub(View)","com.liangfeizc.databinding.sample.viewstub.ViewStubActivity.inflateViewStub(android.view.View):void",2,0,  ,109,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/viewstub/ViewStubActivity.java,34,39,N,"void void ViewStubActivity.inflateViewStub(View)(class com.liangfeizc.databinding.sample.viewstub.ViewStubActivity *this, class android.view.View *view)",9,0.89,0.60,0,3,34 35 36 38,2
"void ViewStubActivity.onCreate(Bundle)","com.liangfeizc.databinding.sample.viewstub.ViewStubActivity.onCreate(android.os.Bundle):void",0,0,  ,64,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/sample/viewstub/ViewStubActivity.java,19,39,N,"void void ViewStubActivity.onCreate(Bundle)(class com.liangfeizc.databinding.sample.viewstub.ViewStubActivity *this, class android.os.Bundle *savedInstanceState)",10,0.00,0.78,0,5,,1
"void MyStringUtils.<clinit>()","com.liangfeizc.databinding.utils.MyStringUtils.<clinit>():void",1,0,  ,26,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/utils/MyStringUtils.java,10,28,N,"class java.lang.Object *void MyStringUtils.<clinit>()(class java.lang.String *field)",6,0.83,0.30,0,1,10,1
"MyStringUtils.<init>()","com.liangfeizc.databinding.utils.MyStringUtils.<init>()",1,0,  ,18,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/utils/MyStringUtils.java,9,28,N,"void MyStringUtils.<init>()(class com.liangfeizc.databinding.utils.MyStringUtils *this)",5,0.80,0.30,0,1,9,1
"String MyStringUtils.capitalize(String)","com.liangfeizc.databinding.utils.MyStringUtils.capitalize(java.lang.String):java.lang.String",2,0,  ,264,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/utils/MyStringUtils.java,22,28,N,"class java.lang.String *String MyStringUtils.capitalize(String)(class java.lang.String *word)",16,0.94,1.00,1,8,22 23 24 26,2
"String MyStringUtils.capitalizeSentence(String)","com.liangfeizc.databinding.utils.MyStringUtils.capitalizeSentence(java.lang.String):java.lang.String",0,0,TO,334,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/utils/MyStringUtils.java,12,28,N,"class java.lang.String *String MyStringUtils.capitalizeSentence(String)(class java.lang.String *sentence)",15,0.00,1.15,0,13,,2
"void Randoms.<clinit>()","com.liangfeizc.databinding.utils.Randoms.<clinit>():void",1,0,  ,164,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/utils/Randoms.java,9,36,N,"class java.lang.Object *void Randoms.<clinit>()(class java.lang.String *field)",27,0.96,0.30,0,1,9 11 24 25 27,1
"Randoms.<init>()","com.liangfeizc.databinding.utils.Randoms.<init>()",1,0,  ,18,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/utils/Randoms.java,8,36,N,"void Randoms.<init>()(class com.liangfeizc.databinding.utils.Randoms *this)",5,0.80,0.30,0,1,8,1
"String Randoms.nextFirstName()","com.liangfeizc.databinding.utils.Randoms.nextFirstName():java.lang.String",1,0,  ,69,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/utils/Randoms.java,29,36,N,"class java.lang.String *String Randoms.nextFirstName()()",7,0.86,0.30,0,1,29 30,1
"String Randoms.nextImgUrl()","com.liangfeizc.databinding.utils.Randoms.nextImgUrl():java.lang.String",1,0,  ,69,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/utils/Randoms.java,18,36,N,"class java.lang.String *String Randoms.nextImgUrl()()",7,0.86,0.30,0,1,18 19,1
"String Randoms.nextLastName()","com.liangfeizc.databinding.utils.Randoms.nextLastName():java.lang.String",1,0,  ,69,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/utils/Randoms.java,33,36,N,"class java.lang.String *String Randoms.nextLastName()()",7,0.86,0.30,0,1,33 34,1
"ScreenUtils.<init>()","com.liangfeizc.databinding.utils.ScreenUtils.<init>()",1,0,  ,18,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/utils/ScreenUtils.java,8,12,N,"void ScreenUtils.<init>()(class com.liangfeizc.databinding.utils.ScreenUtils *this)",5,0.80,0.30,0,1,8,1
"float ScreenUtils.dp2px(Context,float)","com.liangfeizc.databinding.utils.ScreenUtils.dp2px(android.content.Context,float):float",1,0,  ,50,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/utils/ScreenUtils.java,9,12,N,"float float ScreenUtils.dp2px(Context,float)(class android.content.Context *context, float dpValue)",6,0.83,0.48,0,2,9 10,1
"NameCard.<init>(Context)","com.liangfeizc.databinding.view.NameCard.<init>(android.content.Context)",1,0,  ,20,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/view/NameCard.java,24,64,N,"void NameCard.<init>(Context)(class com.liangfeizc.databinding.view.NameCard *this, class android.content.Context *context)",5,0.80,1.11,0,12,24 25 26,1
"NameCard.<init>(Context,AttributeSet)","com.liangfeizc.databinding.view.NameCard.<init>(android.content.Context,android.util.AttributeSet)",0,0,  ,27,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/view/NameCard.java,28,64,N,"void NameCard.<init>(Context,AttributeSet)(class com.liangfeizc.databinding.view.NameCard *this, class android.content.Context *context, class android.util.AttributeSet *attrs)",5,0.00,1.11,1,11,,1
"NameCard.<init>(Context,AttributeSet,int)","com.liangfeizc.databinding.view.NameCard.<init>(android.content.Context,android.util.AttributeSet,inFE2A",2,0,  ,148,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/view/NameCard.java,32,64,N,"void NameCard.<init>(Context,AttributeSet,int)(class com.liangfeizc.databinding.view.NameCard *this, class android.content.Context *context, class android.util.AttributeSet *attrs, int defStyleAttr)",19,0.47,1.11,2,10,32 33 35 38 40 43 44,1
"void NameCard.init()","com.liangfeizc.databinding.view.NameCard.init():void",1,0,  ,76,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/src/main/java/com/liangfeizc/databinding/view/NameCard.java,46,64,N,"void void NameCard.init()(class com.liangfeizc.databinding.view.NameCard *this)",10,0.90,0.95,3,5,46 47 48 50 51,1
